"","Y","X","Comparisons","OR","95% C.I.L.B.","95% C.I.U.B.","p-Value","sign"
"34","ASIA IS Worse at Long Term","Intraoperative MEP Legs","n/a vs. unchanged",0,0,Inf,"0.993",""
"35","Bladder Worse at 3 Months","Intraoperative MEP Legs","amplitude decrease vs. unchanged",1.05,0.107795462293505,10.2277032496797,"0.966",""
"36","Bladder Worse at 3 Months","Intraoperative MEP Legs","loss of response vs. unchanged",1.75,0.386727623150441,7.91901021978108,"0.467",""
"37","Bladder Worse at 3 Months","Intraoperative MEP Legs","n/a vs. unchanged",0,0,Inf,"0.993",""
"38","Bladder Worse at Long-Term","Intraoperative MEP Legs","amplitude decrease vs. unchanged",1.8,0.17383482233203,18.6383830151791,"0.622",""
"39","Bladder Worse at Long-Term","Intraoperative MEP Legs","loss of response vs. unchanged",3,0.605487712131154,14.8640506152016,"0.178",""
"40","Bladder Worse at Long-Term","Intraoperative MEP Legs","n/a vs. unchanged",0,0,Inf,"0.993",""
"41","Bowel Worse at 3 Months","Intraoperative MEP Legs","amplitude decrease vs. unchanged",0,0,Inf,"0.995",""
"42","Bowel Worse at 3 Months","Intraoperative MEP Legs","loss of response vs. unchanged",3.83,0.729813103611853,20.1345308432001,"0.112",""
"43","Bowel Worse at 3 Months","Intraoperative MEP Legs","n/a vs. unchanged",0,0,Inf,"0.997",""
"44","Bowel Worse at Long-Term","Intraoperative MEP Legs","amplitude decrease vs. unchanged",0,0,Inf,"0.995",""
"45","Bowel Worse at Long-Term","Intraoperative MEP Legs","loss of response vs. unchanged",4.8,0.602646407016886,38.2313737072599,"0.138",""
"46","Bowel Worse at Long-Term","Intraoperative MEP Legs","n/a vs. unchanged",0,0,Inf,"0.997",""
"47","Motor Worse at 3 Months","Intraoperative D-Wave"," vs. unchanged",2.75,0.402154273443083,18.8049723685694,"0.302",""
"48","Motor Worse at 3 Months","Intraoperative D-Wave"," vs. unchanged",0.87,0.311529912460783,2.44649609572928,"0.796",""
"49","Motor Worse at Long-Term","Intraoperative D-Wave","signif decrease vs. unchanged",1.39,0.202711219894765,9.58539460708395,"0.736",""
"50","Motor Worse at Long-Term","Intraoperative D-Wave","not measured/unavailable vs. unchanged",0.86,0.297172158366945,2.46207818641573,"0.772",""
"51","McCormick Scale Worse at 3 Months","Intraoperative D-Wave","signif decrease vs. unchanged",3.11,0.423283542277986,22.8664981718624,"0.265",""
"52","McCormick Scale Worse at 3 Months","Intraoperative D-Wave","not measured/unavailable vs. unchanged",1.62,0.492031715421486,5.35481863902407,"0.426",""
"53","McCormick Scale Worse at Long-Term","Intraoperative D-Wave","signif decrease vs. unchanged",4.87,0.688847004159248,34.5005855529494,"0.113",""
"54","McCormick Scale Worse at Long-Term","Intraoperative D-Wave","not measured/unavailable vs. unchanged",1.13,0.365446493294292,3.49677126797385,"0.831",""
"55","ASIA IS Worse at 3 Months","Intraoperative D-Wave","signif decrease vs. unchanged",1.87,0.165561652210471,21.234536808053,"0.612",""
"56","ASIA IS Worse at 3 Months","Intraoperative D-Wave","not measured/unavailable vs. unchanged",0.8,0.165022571904206,3.91296217933954,"0.787",""
"57","ASIA IS Worse at Long-Term","Intraoperative D-Wave","signif decrease vs. unchanged",2.58,0.213910972485356,31.1980775627011,"0.455",""
"58","ASIA IS Worse at Long-Term","Intraoperative D-Wave","not measured/unavailable vs. unchanged",1.53,0.3142514582345,7.45754754631231,"0.598",""
"59","Pain Worse at 3 Months","Intraoperative D-Wave","signif decrease vs. unchanged",0.69,0.0682439995592607,7.06660057340867,"0.758",""
"60","Pain Worse at 3 Months","Intraoperative D-Wave","not measured/unavailable vs. unchanged",0.53,0.157181232984611,1.815463910351,"0.315",""
"61","Pain Worse at Long-Term","Intraoperative D-Wave","signif decrease vs. unchanged",1.22,0.17873523264137,8.35776549714196,"0.838",""
"62","Pain Worse at Long-Term","Intraoperative D-Wave","not measured/unavailable vs. unchanged",0.53,0.178511412981472,1.60173431022517,"0.263",""
"63","Bladder Worse at 3 Months","Intraoperative D-Wave","signif decrease vs. unchanged",1.45,0.133122273896902,15.7937506508425,"0.76",""
"64","Bladder Worse at 3 Months","Intraoperative D-Wave","not measured/unavailable vs. unchanged",1.39,0.378676767967804,5.1169339233534,"0.619",""
"65","Bladder Worse at Long-Term","Intraoperative D-Wave","signif decrease vs. unchanged",1.87,0.165561652210471,21.2345368080531,"0.612",""
"66","Bladder Worse at Long-Term","Intraoperative D-Wave","not measured/unavailable vs. unchanged",1.11,0.252870388819082,4.88221616726041,"0.889",""
"67","Bowel Worse at 3 Months","Intraoperative D-Wave","signif decrease vs. unchanged",1.88,0.165560771030938,21.2346498395025,"0.612",""
"68","Bowel Worse at 3 Months","Intraoperative D-Wave","not measured/unavailable vs. unchanged",0.52,0.0878846039898116,3.04420378942215,"0.466",""
"69","Bowel Worse at Long-Term","Intraoperative D-Wave","signif decrease vs. unchanged",4,0.292412497616303,54.7172235469732,"0.299",""
"70","Bowel Worse at Long-Term","Intraoperative D-Wave","not measured/unavailable vs. unchanged",0.53,0.0459482280341864,6.19054219531148,"0.615",""
